,ID,Name,Search Alias,Category,Latitude,Longitude,Address,City,State,Zip Code
1264,G13kM3hGHCKi8QSLx9Wong,City of Santa Rosa,animalshelters,Animal Shelters,38.4406899,-122.7468,69 Stony Cir,Santa Rosa,CA,95401
1265,HIugRf9awI1meNAlNci1uw,Lambert Bridge Winery,wineries,Wineries,38.6469297991744,-122.92777482161,4085 W Dry Creek Rd,Healdsburg,CA,95448
1266,u9f6VstnxznCMEtPLNyBYA,Frameworks,framing,Framing,38.5088,-122.47283,1078 Fulton Ln,Saint Helena,CA,94574
1267,FPOjpd88weqUStehY4c3fQ,Sonoma County Library,libraries,Libraries,38.4412089,-122.7103706,211 E St,Santa Rosa,CA,95401
1268,qVy-YRJnbLsARTrhum5bnw,Clos Pegase Winery,venues,Venues & Event Spaces,38.572326,-122.555102,1060 Dunaweal Lane,Calistoga,CA,94515
1269,BDubDPws6T_BkzlQUHVCKQ,Martin Estate Winery,wineries,Wineries,38.50611,-122.47168,,Saint Helena,CA,94574
1270,2iZnIyStc4VtcWG3yNTJOw,F Teldeschi Winery,winetastingroom,Wine Tasting Room,38.655596,-122.9218096,3555 Dry Creek Rd,Healdsburg,CA,95448
1271,m3IXAI55CttbMn5vWz71Lg,HALL Rutherford,wineries,Wineries,38.4945615381002,-122.409609630704,56 Auberge Rd,St. Helena,CA,94574
1272,8lr2gBhukbqO3AdFF-9O5Q,Mumm Napa,winetastingroom,Wine Tasting Room,38.478891,-122.393855,8445 Silverado Trl,Napa,CA,94558
1273,blUuKnpEpJtpyq3B4l2Rcw,Peju Province Winery,wineries,Wineries,38.4554826,-122.4180526,8466 St Helena Hwy,Rutherford,CA,94573
1274,qhG6g9wGydn0YYB2zaWxQQ,Korbel Champagne Cellars,wineries,Wineries,38.507873,-122.964784,13250 River Rd,Guerneville,CA,95446
1275,iCRFsalhQhNWP7F4g-yf1Q,Clearlake Cinema,movietheaters,Cinema,38.9620283370379,-122.635660171509,3380 Washington,Clearlake,CA,95422
1276,Z0fYtkNluub2edL0-dhlxg,St. Supery Estate Vineyards & Winery,wineries,Wineries,38.4551318502323,-122.414560554116,8440 St Helena Hwy,Rutherford,CA,94573
1277,FZJFSLVQaFIgNaPCdfGTiQ,6th Street Playhouse,theater,Performing Arts,38.43754,-122.72337,52 W 6th St,Santa Rosa,CA,95401
1278,W8WN19Lmigp2g8ra0R6T-A,Blue Door Gallery,galleries,Art Galleries,38.5019288957119,-122.999672815204,16359 Main St,Guerneville,CA,95446
1279,BZbnH1NYE9-eg6Gf0_5Qhw,Dennis Rae Fine Art,galleries,Art Galleries,38.50476,-122.47002,1359 Main St,St. Helena,CA,93921
1280,P2FJT3nuYqm6CiOh04wrZA,Markham Vineyards,wineries,Wineries,38.5183784,-122.4890252,2812 Saint Helena Hwy N,Saint Helena,CA,94574
1281,pssgUsL0Nin0AbZ3pOWZnA,Calistoga Community Center,communitycenters,Community Centers,38.5788519,-122.5802318,1307 Washington St,Calistoga,CA,94515
1282,GBJ2gEYzAPzf5ET48RVkiA,Fritz Underground Winery,wineries,Wineries,38.7353669,-122.988214,24691 Dutcher Creek Rd,Cloverdale,CA,95425
1283,1Yh7iKoQS4ipU7BoAhVvjA,HALL Wines,wineries,Wineries,38.489031,-122.451972,401 St Helena Hwy S,Saint Helena,CA,94574
1284,zUwt8IDUIAEQg20CCLkaxw,Kendall-Jackson Wine Estate & Gardens,wineries,Wineries,38.5069,-122.77286,5007 Fulton Rd,Fulton,CA,95439
1285,ny8Ims7hD4ONiYv9_i610A,Epicenter,sportsbars,Sports Bars,38.46747,-122.74475,3215 Coffey Ln,Santa Rosa,CA,95403
1286,uHwIZd9lmT56tMP_nd6F_w,Far Niente Winery,wineries,Wineries,38.424479,-122.404132,1350 Acacia Dr,Oakville,CA,94562
1287,ZcqIec8AJDyPIGO_vtxyKA,V. Sattui Winery,wineries,Wineries,38.48901,-122.44811,1111 White Ln,Saint Helena,CA,94574
1288,MX_XUqMG7pSJT83NhnFZTg,Active Wine Adventures,arttours,Art Tours,38.29737,-122.29047,,Napa,CA,94559
1289,iYWNb8o9AuKEKpuiAiKQvw,Nickel & Nickel,wineries,Wineries,38.443243,-122.406763,8164 St Helena Hwy,Oakville,CA,94558
1290,CGLgX6WWekdbZjRSkjI2AA,VJB Vineyards & Cellars,wineries,Wineries,38.41726,-122.5498,60 Shaw Ave,Kenwood,CA,95452
1291,eEprwl2gc7OfKyTOYnHEEw,Wings Over Wine Country,theater,Performing Arts,38.5138092041016,-122.803611755371,5499 Ordinance Rd,Santa Rosa,CA,95403
1292,Av_UWwtKRBLJkL9T5GYPOA,Beaulieu Vineyard,wineries,Wineries,38.4593615,-122.423137,1960 Saint Helena Hwy,Rutherford,CA,94573
1293,OgZBM6OvZtyToUgZKyJtIA,Raymond Vineyards,wineries,Wineries,38.486071,-122.4378119,849 Zinfandel Ln,Saint Helena,CA,94574
1294,yhUtRV7p98JS5AqAoz0EqA,Turnbull Wine Cellars,wineries,Wineries,38.4446747,-122.4084054,8210 St Helena Hwy,Oakville,CA,94562
1295,JgHmEzrfA6MWg2eT-AtGTQ,Martinelli Winery & Vineyards,wineries,Wineries,38.4878578984097,-122.808403829361,3360 River Rd,Windsor,CA,95492
1296,H6G15xLRHSWyr2eyAzovFw,Frog's Leap Winery,wineries,Wineries,38.4727332935577,-122.401190539612,8815 Conn Creek Rd,Rutherford,CA,94573
1297,A9_PEnLpa1DO_BDLzRxRIg,US Post Office,postoffices,Post Offices,38.5058753,-122.4715721,1461 Main St,Saint Helena,CA,94574
1298,z65m1u_XzbvKQq_Kc9NFgw,Ferrari-Carano Vineyards & Winery,wineries,Wineries,38.7112995029381,-122.978407017552,8761 Dry Creek Rd,Healdsburg,CA,95448
1299,UOWPGtbE2NIWCCB3tzHwMw,Marimar Estate Vineyards & Winery,wineries,Wineries,38.422290802002,-122.903503417969,11400 Graton Rd,Sebastopol,CA,95472
1300,rMh9PfBpPqN8pEusPYhOvQ,Silverado Vineyards,wineries,Wineries,38.412273,-122.336858,6121 Silverado Trl,Napa,CA,94558
1301,XPh3ZBqxA3tldU_-_6KHFg,Opus One Winery,wineries,Wineries,38.4414391100535,-122.399720296699,7900 St Helena Hwy,Oakville,CA,94562
1302,pWIKdVb0VOoPHxBP0SAb9w,PlumpJack Winery,wineries,Wineries,38.455434,-122.374111,620 Oakville Cross Rd,Oakville,CA,94562
1303,Zumm3-xGQ3Nud-R1YvydCA,Silver Oak Cellars,wineries,Wineries,38.4404422,-122.3809788,915 Oakville Cross Rd,Oakville,CA,94562
1304,YEu8EFkgZdW6NXpAAvdVoA,Robert Mondavi Winery,wineries,Wineries,38.441422,-122.409546,7801 Saint Helena Hwy,Oakville,CA,94562
1305,CaDuZZ-9J2ymjyastDOZwA,TIX Bay Area,theater,Performing Arts,37.787787,-122.408054,350 Powell St,San Francisco,CA,94102
1306,jv-ABtBhtMjQOpKkaDWDzA,Cloverdale Historical Society,museums,Museums,38.8067321777344,-123.018585205078,215 N Cloverdale Blvd,Cloverdale,CA,95425
1307,SGV6mVwb3BTLsql03glTXQ,Lake County Museum,museums,Museums,39.0435256958008,-122.915641784668,255 N Main St,Lakeport,CA,95453
1308,m8X8hcuIpYj7cZvZwEzBbg,Healdsburg Museum and Historical Society,museums,Museums,38.6109316,-122.8679059,221 Matheson St,Healdsburg,CA,95448
1309,la4A7IfEW5XBwNJ99q_aXg,Charles M Schulz Museum & Research Center,museums,Museums,38.460315,-122.735862,2301 Hardies Ln,Santa Rosa,CA,95403
1310,RR8ffdyOQMAmZjQH6yvLCA,Hand Fan Museu,museums,Museums,38.6090239,-122.8704332,219 Healdsburg Ave,Healdsburg,CA,95448
1311,e08EVhYI3lkh33y68-z5QA,Anderson Valley Historical Museum,museums,Museums,39.02923,-123.38557,12340 Highway 128,Boonville,CA,95415
1312,SDYqtb_VATb4bIQR5wsqyw,Francis Ford Coppola Winery,wineries,Wineries,38.6784075719865,-122.889633178711,300 Via Archimedes,Geyserville,CA,95441
1313,yLTWSz_3kmB35n20V1E6YQ,Children's Museum of Sonoma County,childrensmuseums,Children's Museums,38.460948,-122.737092,1835 W Steele Ln,Santa Rosa,CA,95403
1314,JMV4dm4RkiUJYs9fMsFj8Q,Pacific Coast Air Museum,museums,Museums,38.5065247254838,-122.802071174842,One Air Museum Way,Santa Rosa,CA,95403
1315,OFkaWuRp3VLqWpmb_hvltg,California Indian Museum & Cultural Center,museums,Museums,38.50888,-122.764542,5250 Aero Dr,Santa Rosa,CA,95403
1316,G2dRPlfa-sOJENiuFSmylA,Museums of Sonoma County,museums,Museums,38.441874,-122.718389,425 7th St,Santa Rosa,CA,95401
1317,9LLyitNfsxANa_BC3vS7yw,Paul Mahder Gallery,venues,Venues & Event Spaces,38.6091206967831,-122.8701415658,222 Healdsburg Ave,Healdsburg,CA,95448
1318,kWcdJjZboapxjCHnQEMnjw,Hammerfriar,framing,Framing,38.6084830015898,-122.869000285864,132 Mill St,Healdsburg,CA,95448
1319,hmx0HoQOwwZJGHfks7ucpA,Bella Vineyards & Wine Caves,wineries,Wineries,38.70595,-122.98077,9711 W Dry Creek Rd,Healdsburg,CA,95448
1320,ZOzf-tg-M99hpMKJCfZEWQ,Virginia Dare Winery,wineries,Wineries,38.715494,-122.923081,22281 Chianti Rd,Geyserville,CA,95441
1321,leTXPLEWxdS1TreBiT6vVA,Hopscotch Gifts & Gallery,galleries,Art Galleries,38.610459,-122.868889,126 Matheson,Healdsburg,CA,95448
1322,yXdLYg8044peggke_jW8-w,Ripley Museum Church of One Tree,museums,Museums,38.43598,-122.71401,492 Sonoma Ave,Santa Rosa,CA,95401
1323,Mf19ig3FXCt2a7qJ9kVPrg,J Vineyards & Winery,wineries,Wineries,38.5730574965052,-122.842665346288,11447 Old Redwood Hwy,Healdsburg,CA,95448
1324,lMSkdZWp2UaAnwvNbP686g,Luther Burbank Home & Gardens,parks,Parks,38.4361035,-122.7120613,204 Santa Rosa Ave,Santa Rosa,CA,95404
1325,6lR4JOXI2PnCrlrw8M8_UQ,Seghesio Family Vineyards,wineries,Wineries,38.6179262438298,-122.875266366274,700 Grove St,Healdsburg,CA,95448
